Show #,Show No.,Title,Topics,Synopsis,Original Air Date,Transcript,Recipes
EA1119,185th,The Wing and I,"Buffalo Wings, Wing Sauce, Chicken Origins, Airplane Flight, Red Junglefowl, Margarine, Hot Sauce Proliferation, Hoisin Sauce",The Wing's the thing as Alton Brown prepares America's most ubiquitous of bar foods: Buffalo chicken wings. (foodnetwork.com),01.30.2008,The Wing and I,1) Orange Glazed Chicken Wings 2) Buffalo Wings
EA1111,184th,American Slicer,"Knives, Knife Types, Parts of Knives, Cutting, Cutting Boards Cutting a: onion, garlic, bell pepper, jalapeño, and tomatoes",Join host Alton Brown as he explores what it takes to stay sharp in the kitchen and demystifies the relationship between the cook and his cutlery. (foodtv.com),01.07.2008,American Slicer,1) Gazpacho
EA1113,183th,Puff The Magic Mallow,"Marshmallows, Corn Syrup, Candy Stages, High Fructose Corn Syrup","From their swampy origins to modern machine molds, host Alton Brown shares the sweet, sticky science behind homemade marshmallow. (foodtv.com)",12.03.2007,Puff The Magic Mallow,1) Homemade Marshmallows 2) Ambrosia
EA1108,182th,Kinda Blue,"Blueberries, Frozen Pie, Buckle, Starch","Join host Alton Brown as he reveals the secret to turning this summer's superstar, the blueberry, into a year-round treat. (foodnewtork.com)",11.14.2007,Kinda Blue,1)Blueberry Buckle 2)Frozen Blueberry Pie 3)Blueberry Soda
EA1109,180th,Bean Stalker,"Green Beans, Campbell's Soup History, Fried Onions, Mandolins, Panko Breadcrumbs,","Join Food Network's intrepid host, Alton Brown, as he reinvents the classic green bean casserole just in time to save the holidays. (foodtv.com)",11.07.2007,Bean Stalker,1) Best Ever Green Bean Casserole
EA1112,180th,Peanut Gallery,"Peanuts, George Washington Carver,",Alton Brown needs to turn a handful of peanuts into some seriously good eats. (foodtv.com),10.15.2007,Peanut Gallery,1) Boiled Peanuts 2) Boiled Peanut Soup 3) Roasted Peanuts 4) Homemade Peanut Butter 5) Peanut Butter Pie
EA1110,179th,Dill-icous,"Cucumber, Pickles, Fermentation, Dill",Join host Alton Brown as he helps a humble cucumber fulfill its culinary destiny of becoming a pickle. (foodtv.com),10.08.2007,Dill-icious,1) Deep-Fried Pickles 2) Dill Pickles 3) Kookickles (Recipe from show below)
EA1103,178th,Stew Romance,"Beef Stew, Paparika, Goulash, Short Ribs, Chuck and Plate Primal, Stewing, Braising, Collagen, Elastin, Reticulin, Gelatin, Gristle, Maillard Reaction","If great stew, like great music, is a commingling of ingredients to create culinary harmony, why do so many stews taste less like beautiful music and more like a murky dirge? (foodnetwork.com)",08.13.2007,Stew Romance,1) Good Eats Beef Stew
EA1107,177th,Whithering Bites,"Dried Fruit, Dehydration, Fruit Water Percentage, Mummy Preparation, Homemade Fruit Dryers","Dried fruit may not be glamorous, but what it lacks in fashion it more than makes up for in flavor and versatility. (foodnetwork.com)",08.06.2007,Whithering Bites,1) Dried Fruit 2) Individual Fruit Compote Pies 3) Sweet Dried Fruit Compote 4) Trail Mix
EA1106,176th,Fishin' Whole,"Whole Fish, Stripped Bass, Trout, Smelt, Fish Scaling, Fish Muscles, Cooking Fish on Wood,","Scales, tails and eyes oh my! Who's afraid of whole fish? Not Alton Brown. Confront your fishy phobias head on with the fearless host as he roasts, planks and fries up a few good (whole) fish. (foodtv.com)",07.23.2007,Fishn' Whole,1) Pan-Fried Smelts 2) Plank Grilled Whole Trout 3) Whole Striped Bass
EA1105,175th,Sub Standards,"Food Substitutions: Baking Powder, Buttermilk, Peanut Butter, Flour Food Allergies, Miso, Tapioca Flour, Xanthan Gum","Whether filling in for your French teacher or your favorite spice, substitutes can be every bit as successful as the original. Join host Alton Brown and a handful of substitute chefs as they take on a few good recipes with one ingredient tied behind their backs. (foodtv.com)",07.16.2007,Sub Standards,1) The Chewy Gluten Free 2) Southern Biscuits 3) Faux Peanut Sauce
EA1104,174th,Coconut Cake Revival,"Coconut, Coconut Opening, Coconut Extract, Coconut Milk, Coconut Cream, Coconut Cake, Layer Cake",Is it possible to make great cake with coconut from a can? Should you even try? Host Alton Brown wants to know and he's willing to crack open as many nuts as it takes to make a slice of paradise on a plate. (foodtv.com),07.09.2007,Coconut Cake Revival,1) Coconut Cake with 7-Minute Frosting 2) Coconut Milk and Cream 3) Coconut Extract
EA1102,173rd,Pretzel Logic,"Pretzels, pH, Yeast, Lye, Mustard","The pretzel, once a delicious treat, has sadly been twisted into the edible equivalent of cardboard. Alton Brown recreates the traditional soft pretzel in all its crisp, chewy, golden brown glory. (foodtv.com)",06.20.2007,Pretzel Logic,1) Homemade Soft Pretzels 2) Homemade Hard Pretzels 3) Best Mustard Ever
EA1101,172nd,Milk Made,"Milk, Lactose, Evaporated Milk, Sweetened Condensed Milk, Homogenization, Pasteurization, Louis Pasteur, Cottage Cheese","Of all the edibles on earth, only milk exists solely to be food ... at least that's what Alton says. (foodtv.com)",06.06.2007,Milk Made,1) Quick Cottage Cheese 2) Dulce de Leche 3) Tres Leche Cake
EA1019,171th,American Classics I,"Spinach, Hard ""Cooked"" Eggs, Electric Kettle, Bacon, Vinegar, Mushrooms",Alton kicks off his investigation of the vast arena of American Classic dishes with the spinach salad. He examines the recipe ingredient by ingredient tracing the history of how each element became part of the traditional and tasty salad. (foodtv.com),04.18.2006,American Classics I,1) Spinach Salad with Warm Bacon Dressing
EA1018,169th,Espress Yourself,"Espresso, Espresso Machines, Coffee Roasts, Burr Grinders, Coffee Press","We could all use some education about true espresso. Join Alton Brown as he explains how the beans, the grind, the machine and the hand make up the essential components. (foodtv.com)",04.04.2006,Espress Yourself,--none--
EA1020,169th,Pickled Pink,Corn Beef,"Join Alton Brown as he makes a traditional corned beef to rival any deli serving originating in New York City. From selecting the proper cut of meat to pickling or ""corning"" it, Alton will serve two classic applications: corned beef and cabbage, and corned beef hash. (foodtv.com)",03.14.2006,Pickled Pink,1) Corned Beef 2) Corned Beef and Cabbage 3) Corned Beef Hash
EA1014,168th,Fruit Ten From Outer Space,"Pomegranates, Juicers, Arils","Join Alton Brown as he explores an alien fruit: the pomegranate. As he dissects this mysterious fruit, AB reveals a variety of applications for all of the pomegranate's juicy goodness and decides that regardless of being way weird, pomegranates are definitely good eats. (foodtv.com)",03.07.2006,Fruit Ten From Outer Space,1) Pomegranate Syrup or Molasses 2) Pomegranate Gelatin 3) Grilled Leg of Lamb with Pomegranate Molasses 4) Tequila Sunrise
EA1017,167th,Fowl Territory,"Cornish Game Hen, Safe Cooking Practices","Join AB as he shares his favorite weeknight meal, Cornish game hen, with an eye on food safety. From the grocery store to the leftovers, AB shows us how to shop, prep, cook and even grill while providing guidelines and tools for proper food handling and clean up. The reward? A couple of tasty versions of AB's Cornish game hen that are definitely safe eats. (foodnetwork.com)",02.21.2007,Fowl Territory,1) Grilled Curry Cornish Hens 2) Cornish Game Hen with Bacon and Onions
EA1016,166th,Bowl O' Bayou,Gumbo,"AB breaks down the whole concept of Gumbo, clarifies the differences between Cajun and Creole and explains the importance of the roux this classic dish. After numerous roux failures AB comes up with a foolproof method for making a brick (dark) roux and the perfect gumbo. (foodnetwork.com)",02.14.2007,Bowl O' Bayou,1) Shrimp Gumbo
EA1011,165th,Tortillas Again,"Tortillas, Leftovers","AB finds himself in a fix when a local cooking club pickets his house protesting the fact that he doesn't use enough leftovers. Luckily the Mother of Culinary Invention appears to illuminate the way to redemption. The target food: tortillas, and lots of them. A little experimentation later and the kitchen is full of lasagna, masa-tots and a serious platter of nachos. (foodnetwork.co)",01.31.2007,Tortillas Again,1) Enchilada Lasagna 2) Masa Tot 3) Ultimate Nachos
EA1015,164th,Pantry Raid VI: Lentils,"Lentils, Amino Acids, Protein, Grains of Paradise","Join host Alton Brown as he considers one of the oldest and most versatile players in the pantry, the lentil. Whether it's soup, salad or baked goods, the lentil has more to offer than fiber, minerals, and a steak's worth of protein, a basic nutrient that AB makes a thorough investigation of while the lentil cookies are cooling; yes, we said lentil cookies. (foodtv.com)",01.17.2007,Pantry Raid VI: Lentils,1) Lentil Cookies 2) Lentil Salad 3) Lentil Soup
EA1013,163th,Fry Turkey Fry,"Fried Turkey, Turkey Fryers","Whether or not the Pilgrims ate turkey at the first Thanksgiving is debatable, but one thing is not: if they'd had a propane tank and five gallons of hot oil they'd have deep-fried the turkey for sure. Alton Brown takes on the new American tradition of deep-frying the big bird in an effort to prevent future backyard disasters from flaring up. Along the way, he talks turkey flavor and texture to ensure that we all get the most out of our birds, without getting burned. (foodtv.com)",11.12.2006,Fry Turkey Fry,1) Deep-Fried Turkey
EA1012,162th,Major Pepper,"Pepper, Pepper Mills","If salt is a culinary superhero, does that make pepper its sidekick? Or is there more to the peppercorn than meets the eye? After all, most history books place pepper front and center in discussions of commerce, exploration, culture and cuisine. Join Alton Brown as he takes a closer look at the king of spices, goes in search of the perfect peppermill, and examines the peculiar (but delicious) properties of pepper's essential oils. (foodtv.com)",11.08.2006,Major Pepper,1) 4-Pepper Deviled Eggs 2) Black Pepper Mango Sorbet 3) Slow Cooker Pepper Pork Chops 4) Pepper Vodka
EA1010,161th,Pop Art,"Popcorn, Popcorn Salt, Salt Shaker","No foodstuff screams American ""pop"" culture as loudly as popcorn. So why is it that modern movie popcorn tastes more like butter-flavored packing material than actual corn? AB takes a trip to the past to uncover the origins of the tasty treat, reveals the best corn for the job, and leaves no kernel unpopped in his search for the perfect popper. (foodtv.com)",10.11.2006,Pop Art,1. Savory Herb Popcorn 2. Perfect Popcorn 3. Slacker Jacks
EA1009,160th,Squid Pro Quo II,"Calamari, Squid","In many restaurants, calamari has replaced onion rings as the deep-fried hors d'oeuvre du jour. So why is it that so many cooks fail when it comes to cooking calamari? Is it too many breadcrumbs or not enough batter? AB ships out aboard a squid research vessel in search of answers to this question and a few good appetizers. (foodtv.com)",10.04.2006,Squid Pro Quo II,1. Dry Fried Calamari 2. Wet Fried Calamari 3. Seaside Squid Salad 4. Squid Stuffed Squid
EA1008,159th,Okraphobia,"Okra, Okra's Slime, Frying, Canning, Pickling","Culinary superstars come in all shapes and sizes, but none is more misunderstood than the much-maligned Southern mystery known as okra. Is it a slimy seedpod or pan-fried powerhouse? Join Alton Brown as he explores this versatile veggie from the inside out, separates the ooze from the ""ahs,"" and turns a bad case of ""okraphobia"" into a craving for all things okra. (foodtv.com)",09.27.2006,Okraphobia,1) Okra and Tomatoes 2) Pickled Okra 3) Wet Fried Okra 4) Dry Fried Okra
EA1007,158th,Peachy Keen,Peaches,"Few fruits are as sweet, succulent or downright sexy as a peach. So why is it so hard to find a good peach at the grocery store? Alton Brown trades commercial convenience for farm-stand flavor and discovers what he's been missing. Perfect for pies, pastries or peel and eat, orchard fresh peaches are nothing short of a miracle and, come summertime, closer than you might think. (foodtv.com)",09.20.2006,Peach Keen,1) Grilled Peach Melba 2) Individual Peach Upside-Down Cake
EA0922,157th,Behind The Eats,"Good Eats Creation Process, Good Eats Crew Members, Answers to common Good Eats questions from fans","If you're a Good Eats fan, you've seen Alton do it all. Although hard to believe, he does have some help when it comes to creating each episode. Join us ""Behind the Eats"" as the Good Eats crew reveal their thrilling, compelling and sometimes hard to believe behind the scenes secrets. (foodtv.com)",07.29.2006,"Behind The Eats [Warning, Graphics Intensive]",--none--
EA1006,156th,Water Works II,"Water, Water Filters, Ice, Steam","In his second exploration of the only ingredient pumped directly into our homes, Alton Brown looks at water from the inside out with the help of a friendly water molecule. Along the way, he explains how water is scrubbed clean before it reaches our homes. (foodtv.com)",07.19.2006,Water Works II,--none--
EA1005,155th,Water Works I,"Water, Water Treatment, Bottles","Join Alton Brown as he heads upstream in search of the world's most important ingredient: water. Where does it come from, how is it made safe to drink and how does it get from the source to our kitchen sinks? (foodtv.com)",07.12.2006,Water Works I,--none--
EA1004,154th,Cubing A Round,Cubed Steak,"Cube steak: mysterious meat stuff or misunderstood marvel? Alton Brown makes good use of the only meat capable of being ""knitted"" together in an attempt to bring country cooking home again. The menu may say ""chicken-fried,"" but this is definitely a steak, a steak whose history and hearsay is as interesting as the end results are tasty. (foodtv.com)",06.21.2006,Cubing A Round,1) Chicken Fried Steak 2) Country Style Steak 3) Swiss Steak
EA1003,153rd,House of the Rising Bun,"Bread, Cinnamon, Cassia, Yeast, Tasting/Smelling","Aroma can make us hungry, recall a memory and even spark an emotion. But can it help sell a house? Alton Brown hopes to find out as he whips up several tasty breakfast breads in search of the secret scent of real estate success. Find out exactly what the nose knows, including the surprising source of most store-bought cinnamon. (foodtv.com)",06.07.2006,House of the Rising Bun,1) Overnight Citrus Ginger Ring 2) Overnight Cinnamon Rolls 3) Overnight Monkey Bread
EA1001,152nd,Just Barley,Barley,"Ancient though it may be, barley is no dino-seed when is comes to versatility in the modern kitchen. AB shows us how to grind our own grains and turn a handful of hulls into a meal even a caveman could love. (foodtv.com)",05.17.2006,Just Barley,1) Baked Barley 2) Barley Bread 3) Barley and Lamb Stew 4) Barley Salad 5) Barley Water
EA1002,151st,Tort(illa) Reform,Tortillas,Why is it that so few cooks make their own tortillas at home? AB hopes to reverse the trend by introducing the average gringo to the virtues of the flattest of flatbreads and the magic of an ancient ingredient called maize. (foodtv.com),05.03.2006,Tort(illa) Reform,1) Corn Tortillas 2) Lime Tortilla Chips
EA0921,150th,Olive Me,Olives,"Although small in stature, olives are huge in flavor not to mention that they've changed the course of human history and can change your cooking for the better. Alton will open your eyes to tasty options for olives other than languishing in your martini glass or on an antipasto plate. (foodtv.com)",04.19.2006,Olive Me,1) Citrus Marinated Olives 2) Tapenade 3) Olive Loaf
EA0916,149th,Shell Game IV,Scallops,"Tales of a monster scallop send Alton traveling to a small town in Maine to investigate. After meeting with the nervous locals, he sets sail with Capt. Squint upon his house boat, the Okra where he's forced to cook a whole lot of scallop dishes. The question is for whom? (foodtv.com)",04.05.2006,Shell Game IV,1) Seared Scallops 2) Scallops on the Half Shell 3) Scallop Mousse
EA0920,147th,Your Pad Thai or Mine,"Pad Thai, Woks, Thai food, Asian Market","When his trip to Thailand is cancelled at the last minute, Alton sets out to find the next best thing: food. Namely a proper Pad Thai. Learn the basics of a good stir fry and what to do with some out of the ordinary ingredients. (foodtv.com)",03.15.2006,Your Pad Thai or Mine,1) Pad Thai
EA0915,146th,Flat is Beautiful III,"Flounder and Sole, Fish Knives, Filleting a Fish","Although it's one of the most plentiful fish in the sea, the mild, fine textured flounder is usually relegated to the fry basket. Join Alton Brown as he fishes, filets, and feasts on a selection of dishes that wouldn't suit any other fishes. (foodtv.com)",2.22.2006,Flat is Beautiful III - Flounder,1) Baked Stuffed Flounder 2) Oil Poached Flounder 3) Flounder Fish Salad
EA0919,146th,Tender Is The Loin II,"Beef Tenderloin, Grilling Dynamics, Grill Pans, Carpaccio","Alton completes his strategy of getting your money's worth from the luxurious cut of meat known as beef tenderloin. We learn the legends and preparations of Carpaccio, Philly Cheese steak and the perfect Chateaubriand. (foodtv.com)",02.01.2006,Tender Is The Loin II,1) Center Cut Tenderloin Roast 2) Chain of Bull Cheese Steaks 3) Beef Carpaccio 4) Stuffed Tenderloin
EA0917,145th,Raising the Bar,"Cocktails, Ice, Rum, Bourbon, Gin","The cocktail is a truly American art form that few Americans know much about. Alton sets up the basics of a bar, contemplates ice as an ingredient and properly prepares the three classics that open the door to the world of cocktail mixology. (foodtv.com)",01.25.2006,Raising the Bar,1) Daiquiri 2) AB's Martini 3) Mint Julep
EA0918,144th,Tender Is The Loin I,Beef Tenderloin,"Beef tenderloin is one of the most luxurious cuts of critter known to man, expensive too. Alton investigates where this costly cut comes from, how to buy it and what to do to get your money's worth out of it. (foodtv.com)",01.18.2006,Tender Is The Loin I,1) Steak au Poivre
EA0914,143rd,My Pod,"Vanilla, Vanilla Extract, Vanilla Sugar, Torches","The word ""vanilla"" has come to mean ""bland, boring, commonplace"". Pretty strange when you consider that this rare pod grows on an orchid that can only be pollinated one day a year and contains more flavors and aroma compounds than you can shake a rolling pin at. Join host Alton Brown as he tries to put vanilla back on its pedestal. (foodtv.com)",01.11.2006,My Pod,1) Creme Brulee 2) Fruit Salad with Vanilla Dressing 3) Vanilla Poached Pears
EA0911,142nd,School of Hard Nogs,"Eggnog, Bourbon","Good Eats takes its first serious (sorta) look at the cocktail world by diving into this famed, holiday quaff. Learn the techniques that make it tick, what to do with the leftovers and take a peek into the tasty world of bourbon. (foodtv.com)",12.01.2005,School of Hard Nogs,1) Eggnog 2) Eggnog Ice Cream
EA0913,141st,A Pie in Every Pocket,Pocket Pies,"The standard lattice top apple pie may be an American icon, but it's not the best pie for a culture on the go. Join host Alton Brown as he looks into the past, future and present of the very handy ""pocket"" pie. As for fillings, how does curry mango, chocolate and beef stew grab you? (foodtv.com)",11.09.2005,A Pie in Every Pocket,1) Pocket Pies
EA0912,140th,Curious Yet Tasty Avocado Experiment,Avocados,"Although the avocado is best known for its staring roll in guacamole, this multifaceted culinary actor can also take on rolls usually played by eggs, butter, and even shortening. The results are delicious, healthy, and very green. (foodtv.com)",11.02.2005,Curious Yet Tasty Avocado Experiment,1) Avocado Compound Butter 2) Avocado Ice Cream 3) Avocado Buttercream Frosting
EA0910,139th,Great Balls of Meat,"Meatballs, Swedish Meatballs, Chafing Dishes","Meatballs, if everyone loves them so much, why are there so many lousy ones? Join host Alton Brown as he figures out how to build a better ball, puts a muffin pan to new uses and resuscitates that 60's party classic the Swedish meatball. (foodtv.com)",10.19.2005,Great Balls of Meat,1) Baked Meatballs 2) Swedish Meatballs
EA0909,138th,The Waffle Truth,"Waffles, Waffle Irons, Non-stick Sprays, Nike","Tired of sad, insipid toaster waffles and flavorless instant batters? Host Alton Brown sure is and he's going to do something about it. Learn how to build a better batter, pick the right iron and find out what waffles and church have in common. (foodtv.com)",10.12.2005,The Waffle Truth,1) Basic Waffle 2) Chocolate Waffle
EA0908,137th,Good Wine Gone Bad,"Vinegar, Orléans method, Balsamic Vinegar, White Vinegar Uses, Bottom Round",Join host Alton Brown as he dives deep into the pantry to investigate the many facets of vinegar. Learn the secrets of this ancient elixir (including how to make it from scratch) and some darned cleaver ways to get it into your food. (foodtv.com),09.21.2005,Good Wine Gone Bad,1) Grilled Romaine 2) Sauerbraten
EA0904,136th,Cobbled Together,"Cobbler, Crisp, Grunt, Rhubarb","After years of applying, AB is finally getting a shot to join the prestigious Institute for the Preservation of Culinary Heritage and Authenticity. All he has to do to get in is prepare a dessert for a special dinner. (foodtv.com)",08.24.2005,Cobbled Together,1) Rhubarb Peach Cobbler 2) Blackberry Grunt 3) Individual Berry Crisps
EA0907,135th,Wake Up Little Sushi,"Sushi, Sashimi, California Roll, Wasabi, Gari, Raw Fish","AB investigates the ins and outs of ordering, eating, shopping for and even making basic sushi. Plenty of history thrown in for good measure. Remember, in Sushi world nothing can go wrong? go wrong? go wrong. (foodtv.com)",08.03.2005,Wake Up Little Sushi,1) Sushi Rice 2) California Roll
EA0906,134th,Power Trip,"Energy Bar, Protein Bar, Rice Krispy Treat, Proteins, Fats, Carbohydrates, Amino Acids, Wheat Germ, Flax Seed Oil","AB looks at the nutritional challenges then concocts a protein bar, an ""energy"" bar, and a very healthy puffed rice treat that is also ""crispy"". (foodtv.com)",07.27.2005,Power Trip,1) Brown Rice Crispy Bar 2) Granola Bars 3) Protein Bars
EA0905,133rd,Churn Baby Churn 2,"Premium Ice Cream, Dishers, Extracts and Essential Oils","AB sets out to figure out how to make ice cream himself. After a visit from some federal ice cream agents and a little investigation of ingredients, AB cracks the code. (foodtv.com)",07.13.2005,Churn Baby Churn 2,1) Chocolate Ice Cream 2) Vanilla Ice Cream 3) Mint Chip Ice Cream
EA0901,132nd,Urban Preservation II,"Beef Jerky, Liquid Smoke, Preservation","AB takes a loving look at an ancient food for the new millennium: beef jerky. How to shop for it, make it with a window fan, and then how to actually cook with it as an ingredient. (foodtv.com)",06.29.2005,Urban Preservation II,1) Beef Jerky
EA0903,131st,Dis-Kabob-Ulated,"Shish Kabobs, Skewers","Does the kabob still have a roll to play in the modern culinary carnival? Sure it does. You just need the right ingredients, the right skewers, the right heat and the right mindset. (foodtv.com)",06.15.2005,Dis-Kabob-Ulated,1) Spicy Beef Kebabs 2) Vanilla Lime Pineapple Skewers
EA0902,130th,Give Peas a Chance,Peas,"AB is called to a normal, suburban house one night to ""treat"" a boy who, having been told that he can't leave the table until he eats his peas, hasn't left the table for a very long time. (foodtv.com)",06.01.2005,Give Peas a Chance,1) Green Peas with Cheese and Herbs 2) Split Pea Burgers 3) Curried Split Pea Soup
EA1H19,129th,Do the Rice Thing,"Risotto, Brown Rice, Rice Salad, Starch, Amylose, Amylopectic","To most Americans rice means long grain, white grains. But we're missing out on the marvels of short, medium and brown grains. Join host Alton Brown as he stirs up a risotto, makes a rice salad and delves deep into a mixed bag of starch. (foodtv.com)",05.04.2005,Do the Rice Thing,1) Baked Brown Rice 2) Brown Rice Salad 3) Wild Mushroom and Asparagus Risotto
EA1H20,128th,Field of Greens,"Kale, Mustard Greens, Collard Greens","Was your childhood eating plagued with plate-loads of slimy, foul-smelling leaves? Host Alton Brown shows how to turn fiend to friend when he takes on dark leafy green. Tune in and you might learn a thing or two about nutrition too. (foodtv.com)",04.20.2005,Field of Greens,1) Mustard Green Gratin 2) Pot O'Greens 3) Lemon Sesame Glazed Greens
